Disease,Symptoms
GERD,"[' stomach_pain', ' acidity', ' vomiting', ' cough', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
GERD,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' cough', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
GERD,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' vomiting', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
GERD,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' vomiting', ' cough', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
GERD,"[' acidity', ' ulcers_on_tongue', ' vomiting', ' cough', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
GERD,"[' stomach_pain', ' ulcers_on_tongue', ' vomiting', ' cough', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
GERD,"[' stomach_pain', ' acidity', ' vomiting', ' cough', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
GERD,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' cough', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chronic cholestasis,"['itching', ' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chronic cholestasis,"[' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chronic cholestasis,"['itching', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chronic cholestasis,"['itching', ' vomiting', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chronic cholestasis,"['itching', ' vomiting', ' yellowish_skin', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chronic cholestasis,"['itching', ' vomiting', ' yellowish_skin', ' nausea', ' abdominal_pain', ' yellowing_of_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chronic cholestasis,"['itching', ' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' yellowing_of_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chronic cholestasis,"['itching', ' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chronic cholestasis,"['itching', ' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Chronic cholestasis,"['itching', ' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Drug Reaction,"['itching', ' skin_rash', ' stomach_pain', ' burning_micturition', ' spotting_ urination', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Drug Reaction,"['itching', ' stomach_pain', ' burning_micturition', ' spotting_ urination', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Drug Reaction,"['itching', ' skin_rash', ' burning_micturition', ' spotting_ urination', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Drug Reaction,"['itching', ' skin_rash', ' stomach_pain', ' spotting_ urination', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Drug Reaction,"['itching', ' skin_rash', ' stomach_pain', ' burning_micturition', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Drug Reaction,"[' skin_rash', ' stomach_pain', ' burning_micturition', ' spotting_ urination', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Drug Reaction,"['itching', ' stomach_pain', ' burning_micturition', ' spotting_ urination', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Drug Reaction,"['itching', ' skin_rash', ' burning_micturition', ' spotting_ urination', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Drug Reaction,"['itching', ' skin_rash', ' stomach_pain', ' spotting_ urination', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Drug Reaction,"['itching', ' skin_rash', ' stomach_pain', ' burning_micturition', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Peptic ulcer diseae,"[' vomiting', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases', ' internal_itching', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Peptic ulcer diseae,"[' vomiting', ' indigestion', ' abdominal_pain', ' passage_of_gases', ' internal_itching', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Peptic ulcer diseae,"[' indigestion', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases', ' internal_itching', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Peptic ulcer diseae,"[' vomiting', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases', ' internal_itching', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Peptic ulcer diseae,"[' vomiting', ' indigestion', ' abdominal_pain', ' passage_of_gases', ' internal_itching', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Peptic ulcer diseae,"[' vomiting', ' indigestion', ' loss_of_appetite', ' passage_of_gases', ' internal_itching', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Peptic ulcer diseae,"[' vomiting', ' indigestion', ' loss_of_appetite', ' abdominal_pain', ' internal_itching', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Peptic ulcer diseae,"[' vomiting', ' indigestion', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Peptic ulcer diseae,"[' vomiting', ' indigestion', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases', ' internal_itching', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Peptic ulcer diseae,"[' vomiting', ' indigestion', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases', ' internal_itching', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
AIDS,"[' muscle_wasting', ' patches_in_throat', ' high_fever', ' extra_marital_contacts', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
AIDS,"[' patches_in_throat', ' high_fever', ' extra_marital_contacts', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
AIDS,"[' muscle_wasting', ' high_fever', ' extra_marital_contacts', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
AIDS,"[' muscle_wasting', ' patches_in_throat', ' extra_marital_contacts', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
AIDS,"[' muscle_wasting', ' patches_in_throat', ' high_fever', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
AIDS,"[' muscle_wasting', ' patches_in_throat', ' high_fever', ' extra_marital_contacts', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
AIDS,"[' muscle_wasting', ' patches_in_throat', ' high_fever', ' extra_marital_contacts', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
AIDS,"[' patches_in_throat', ' high_fever', ' extra_marital_contacts', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
AIDS,"[' muscle_wasting', ' high_fever', ' extra_marital_contacts', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
AIDS,"[' muscle_wasting', ' patches_in_throat', ' high_fever', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Diabetes ,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria', nan, nan, nan, nan, nan, nan, nan]"
Diabetes ,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria', nan, nan, nan, nan, nan, nan, nan]"
Diabetes ,"[' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria', nan, nan, nan, nan, nan, nan, nan, nan]"
Diabetes ,"[' fatigue', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria', nan, nan, nan, nan, nan, nan, nan, nan]"
Diabetes ,"[' fatigue', ' weight_loss', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria', nan, nan, nan, nan, nan, nan, nan, nan]"
Diabetes ,"[' fatigue', ' weight_loss', ' restlessness', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria', nan, nan, nan, nan, nan, nan, nan, nan]"
Diabetes ,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria', nan, nan, nan, nan, nan, nan, nan, nan]"
Diabetes ,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria', nan, nan, nan, nan, nan, nan, nan, nan]"
Diabetes ,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' excessive_hunger', ' increased_appetite', ' polyuria', nan, nan, nan, nan, nan, nan, nan, nan]"
Diabetes ,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' increased_appetite', ' polyuria', nan, nan, nan, nan, nan, nan, nan, nan]"
Gastroenteritis,"[' vomiting', ' sunken_eyes', ' dehydration', ' diarrhoea', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Gastroenteritis,"[' vomiting', ' sunken_eyes', ' dehydration', ' diarrhoea', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Gastroenteritis,"[' sunken_eyes', ' dehydration', ' diarrhoea', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Gastroenteritis,"[' vomiting', ' dehydration', ' diarrhoea', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Gastroenteritis,"[' vomiting', ' sunken_eyes', ' diarrhoea', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Gastroenteritis,"[' vomiting', ' sunken_eyes', ' dehydration', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Gastroenteritis,"[' vomiting', ' sunken_eyes', ' dehydration', ' diarrhoea', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Gastroenteritis,"[' sunken_eyes', ' dehydration', ' diarrhoea', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Gastroenteritis,"[' vomiting', ' dehydration', ' diarrhoea', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Gastroenteritis,"[' vomiting', ' sunken_eyes', ' diarrhoea', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bronchial Asthma,"[' cough', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bronchial Asthma,"[' fatigue', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bronchial Asthma,"[' fatigue', ' cough', ' breathlessness', ' family_history', ' mucoid_sputum', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' family_history', ' mucoid_sputum', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' mucoid_sputum', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' family_history', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bronchial Asthma,"[' cough', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bronchial Asthma,"[' fatigue', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypertension ,"[' headache', ' chest_pain', ' dizziness', ' loss_of_balance', ' lack_of_concentration', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypertension ,"[' chest_pain', ' dizziness', ' loss_of_balance', ' lack_of_concentration', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypertension ,"[' headache', ' dizziness', ' loss_of_balance', ' lack_of_concentration', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypertension ,"[' headache', ' chest_pain', ' loss_of_balance', ' lack_of_concentration', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypertension ,"[' headache', ' chest_pain', ' dizziness', ' lack_of_concentration', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypertension ,"[' headache', ' chest_pain', ' dizziness', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypertension ,"[' headache', ' chest_pain', ' dizziness', ' loss_of_balance', ' lack_of_concentration', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypertension ,"[' chest_pain', ' dizziness', ' loss_of_balance', ' lack_of_concentration', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypertension ,"[' headache', ' dizziness', ' loss_of_balance', ' lack_of_concentration', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypertension ,"[' headache', ' chest_pain', ' loss_of_balance', ' lack_of_concentration', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Migraine,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances', nan, nan, nan, nan, nan, nan, nan, nan]"
Migraine,"[' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Migraine,"[' acidity', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Migraine,"[' acidity', ' indigestion', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Migraine,"[' acidity', ' indigestion', ' headache', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Migraine,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Migraine,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' depression', ' irritability', ' visual_disturbances', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Migraine,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' irritability', ' visual_disturbances', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Migraine,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' visual_disturbances', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Migraine,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Cervical spondylosis,"[' back_pain', ' weakness_in_limbs', ' neck_pain', ' dizziness', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Cervical spondylosis,"[' back_pain', ' weakness_in_limbs', ' neck_pain', ' dizziness', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Cervical spondylosis,"[' weakness_in_limbs', ' neck_pain', ' dizziness', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Cervical spondylosis,"[' back_pain', ' neck_pain', ' dizziness', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Cervical spondylosis,"[' back_pain', ' weakness_in_limbs', ' dizziness', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Cervical spondylosis,"[' back_pain', ' weakness_in_limbs', ' neck_pain', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Cervical spondylosis,"[' back_pain', ' weakness_in_limbs', ' neck_pain', ' dizziness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Cervical spondylosis,"[' back_pain', ' weakness_in_limbs', ' neck_pain', ' dizziness', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Cervical spondylosis,"[' weakness_in_limbs', ' neck_pain', ' dizziness', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Cervical spondylosis,"[' back_pain', ' neck_pain', ' dizziness', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paralysis (brain hemorrhage),"[' vomiting', ' headache', ' weakness_of_one_body_side', ' altered_sensorium', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paralysis (brain hemorrhage),"[' vomiting', ' headache', ' weakness_of_one_body_side', ' altered_sensorium', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paralysis (brain hemorrhage),"[' headache', ' weakness_of_one_body_side', ' altered_sensorium', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paralysis (brain hemorrhage),"[' vomiting', ' weakness_of_one_body_side', ' altered_sensorium', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paralysis (brain hemorrhage),"[' vomiting', ' headache', ' altered_sensorium', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paralysis (brain hemorrhage),"[' vomiting', ' headache', ' weakness_of_one_body_side', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paralysis (brain hemorrhage),"[' vomiting', ' headache', ' weakness_of_one_body_side', ' altered_sensorium', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paralysis (brain hemorrhage),"[' headache', ' weakness_of_one_body_side', ' altered_sensorium', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paralysis (brain hemorrhage),"[' vomiting', ' weakness_of_one_body_side', ' altered_sensorium', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Paralysis (brain hemorrhage),"[' vomiting', ' headache', ' altered_sensorium', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jaundice,"['itching', ' vomiting', ' fatigue', ' weight_loss', ' high_fever', ' yellowish_skin', ' dark_urine', ' abdominal_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jaundice,"['itching', ' vomiting', ' fatigue', ' weight_loss', ' high_fever', ' yellowish_skin', ' dark_urine', ' abdominal_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jaundice,"[' vomiting', ' fatigue', ' weight_loss', ' high_fever', ' yellowish_skin', ' dark_urine', ' abdominal_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jaundice,"['itching', ' fatigue', ' weight_loss', ' high_fever', ' yellowish_skin', ' dark_urine', ' abdominal_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jaundice,"['itching', ' vomiting', ' weight_loss', ' high_fever', ' yellowish_skin', ' dark_urine', ' abdominal_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jaundice,"['itching', ' vomiting', ' fatigue', ' high_fever', ' yellowish_skin', ' dark_urine', ' abdominal_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jaundice,"['itching', ' vomiting', ' fatigue', ' weight_loss', ' yellowish_skin', ' dark_urine', ' abdominal_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jaundice,"['itching', ' vomiting', ' fatigue', ' weight_loss', ' high_fever', ' dark_urine', ' abdominal_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jaundice,"['itching', ' vomiting', ' fatigue', ' weight_loss', ' high_fever', ' yellowish_skin', ' abdominal_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Jaundice,"['itching', ' vomiting', ' fatigue', ' weight_loss', ' high_fever', ' yellowish_skin', ' dark_urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Malaria,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache', ' nausea', ' muscle_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Malaria,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Malaria,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Malaria,"[' vomiting', ' high_fever', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Malaria,"[' chills', ' high_fever', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Malaria,"[' chills', ' vomiting', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Malaria,"[' chills', ' vomiting', ' high_fever', ' headache', ' nausea', ' diarrhoea', ' muscle_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
